feature                        ,elsa_description
dietary_info_diea109t          ,Tipo Cha/mate
dietary_info_diea10q           ,Qtde Bolo simples (fatia media)
dietary_info_diea10s           ,Cons Sazonal Bolo simples
dietary_info_diea110q          ,Qtde Chimarrao (Garrafa termica)
dietary_info_diea110s          ,Cons Sazonal Chimarrao
dietary_info_diea111q          ,Qtde Cerveja (Copo americano)
dietary_info_diea111s          ,Cons Sazonal Cerveja
dietary_info_diea112q          ,Qtde Vinho (Taca)
dietary_info_diea112s          ,Cons Sazonal Vinho
dietary_info_diea112t          ,Tipo Vinho
dietary_info_diea113q          ,Qtde Destilados (Dose)
dietary_info_diea113s          ,Cons Sazonal Destilados
dietary_info_diea114q          ,Qtde Agua coco (Un)
dietary_info_diea114s          ,Cons Sazonal Agua coco
dietary_info_diea115           ,Freq refeitorio/rest trabalho (Q115)
dietary_info_diea116           ,Freq rest fora d horario trabalho (Q116)
dietary_info_diea11q           ,Qtde Bolo recheado (fatia media)
dietary_info_diea11s           ,Cons Sazonal Bolo recheado
dietary_info_diea124a          ,Adocante liquido emb transparente (Q124)
dietary_info_diea124b          ,Adocante liquido bem opaca (Q124)
dietary_info_diea124c          ,Adocante po (Q124)
dietary_info_diea124d          ,Adocante Stevia (Q124)
dietary_info_diea124e          ,Adocante forno e fogao (Q124)
dietary_info_diea12q           ,Qtde Bisc salgado (unidade)
dietary_info_diea12s           ,Cons Sazonal Biscoito salgado
dietary_info_diea130a          ,Dieta para perda de peso (Q130)
dietary_info_diea130b          ,Dieta para reducao de colesterol (Q130)
dietary_info_diea130c          ,Dieta para reducao de sal (Q130)
dietary_info_diea130d          ,Dieta vegetariana/reducao carnes (Q130)
dietary_info_diea130e          ,Dieta para ganho de peso (Q130)
dietary_info_diea130f          ,Dieta para diabetes (Q130)
dietary_info_diea130h          ,Dieta por outro motivo (Q130)
dietary_info_diea132a          ,Polivitaminico (Q132)
dietary_info_diea132b          ,Polimineral (Q132)
dietary_info_diea132c          ,Vitamina A (Q132)
dietary_info_diea132d          ,Vitamina B6 (Q132)
dietary_info_diea132e          ,Vitamina C (Q132)
dietary_info_diea132f          ,Vitamina D (Q132)
dietary_info_diea132g          ,Vitamina E (Q132)
dietary_info_diea132h          ,Ácido Fólico (Q132)
dietary_info_diea132i          ,Beta Caroteno (Q132)
dietary_info_diea132j          ,Calcio (Q132)
dietary_info_diea132k          ,Ferro (Q132)
dietary_info_diea132l          ,Selenio (Q132)
dietary_info_diea132m          ,Zinco (Q132)
dietary_info_diea132o          ,Outro suplemento (Q132)
dietary_info_diea134           ,Tipo de cafe (Q134)
dietary_info_diea13q           ,Qtde Biscoito doce (unidade)
dietary_info_diea13s           ,Cons Sazonal Biscoito doce
dietary_info_diea13t           ,Tipo Biscoito doce
dietary_info_diea14q           ,Qtde Polenta/Angu/Pirao (Col de servir)
dietary_info_diea14s           ,Cons Sazonal Polenta/Angu/Pirao
dietary_info_diea15q           ,Qtde Batata inglesa/pure(Col sopa cheia)
dietary_info_diea15s           ,Cons Sazonal Batata inglesa/pure
dietary_info_diea16q           ,Qtde Mandioca/Banana/Bat doce coz (ped)
dietary_info_diea16s           ,Cons Sazonal Mand/Banana/Bat doce cozida
dietary_info_diea17q           ,Qtde Batata/Mand/Polenta fritas (Tigela)
dietary_info_diea17s           ,Cons Sazonal Batata/Mand/Polenta fritas
dietary_info_diea18q           ,Qtde Laranja/Tangerina (Un media)
dietary_info_diea18s           ,Cons Sazonal Laranja/Tangerina
dietary_info_diea19s           ,Cons Sazonal Banana
dietary_info_diea1s            ,Cons Sazonal Arroz
dietary_info_diea20q           ,Qtde Mamao (Unidade media)
dietary_info_diea20s           ,Cons Sazonal Mamao
dietary_info_diea21q           ,Qtde Maca/Pera (Unidade media)
dietary_info_diea21s           ,Cons Sazonal Maca/Pera
dietary_info_diea22q           ,Qtde Melancia (Fatia media)
dietary_info_diea22s           ,Cons Sazonal Melancia
dietary_info_diea23q           ,Qtde Melao (Fatia media)
dietary_info_diea23s           ,Cons Sazonal Melao
dietary_info_diea24q           ,Qtde Abacaxi (Fatia media)
dietary_info_diea24s           ,Cons Sazonal Abacaxi
dietary_info_diea25q           ,Qtde Abacate (Unidade media)
dietary_info_diea25s           ,Cons Sazonal Abacate
dietary_info_diea26q           ,Qtde Manga (Fatia media)
dietary_info_diea26s           ,Cons Sazonal Manga
dietary_info_diea27q           ,Qtde Uva (Unidade)
dietary_info_diea27s           ,Cons Sazonal Uva
dietary_info_diea28q           ,Qtde Goiaba (Unidade media)
dietary_info_diea28s           ,Cons Sazonal Goiaba
dietary_info_diea29q           ,Qtde Morango (Unidade)
dietary_info_diea29s           ,Cons Sazonal Morango
dietary_info_diea2q            ,Qtde Aveia/cereais (Col sopa cheia)
dietary_info_diea2s            ,Cons Sazonal Aveia/Outros cereais
dietary_info_diea30q           ,Qtde Pessego/Ameixa/Kiwi/Caju (Un media)
dietary_info_diea30s           ,Cons Sazonal Pessego/Ameixa/Kiwi/Caju
dietary_info_diea31q           ,Qtde Caqui/Jaca/Pinha/Conde (Un media)
dietary_info_diea31s           ,Cons Sazonal Caqui/Jaca/Pinha/do Conde
dietary_info_diea32q           ,Qtde Salada de frutas (Tigela)
dietary_info_diea32s           ,Cons Sazonal Salada de frutas
dietary_info_diea32t           ,Tipo Salada de frutas
dietary_info_diea33s           ,Cons Sazonal Alface
dietary_info_diea34q           ,Qtde Couve/Espinafre (Col sopa cheia)
dietary_info_diea34s           ,Cons Sazonal Couve/Espinafre refogado
dietary_info_diea35q           ,Qtde Repolho (Pegador cheio)
dietary_info_diea35s           ,Cons Sazonal Repolho
dietary_info_diea36q           ,Qtde Chicoria/Agriao/Rucula (Peg cheio)
dietary_info_diea36s           ,Cons Sazonal Chicor/Rucula/Couve cru
dietary_info_diea37s           ,Cons Sazonal Tomate
dietary_info_diea38q           ,Qtde Abobora (Col sopa cheia)
dietary_info_diea38s           ,Cons Sazonal Abobora/Moranga
dietary_info_diea39q           ,Qtde Ab/Chuchu/Berinj (Col sopa cheia)
dietary_info_diea39s           ,Cons Sazonal Ab Italia/Chuchu/Berinjela
dietary_info_diea3q            ,Qtde Farofa/Cuscuz (Col sopa cheia)
dietary_info_diea3s            ,Cons Sazonal Farofa/Cuscuz
dietary_info_diea40q           ,Qtde Vagem (Col sopa cheia)
dietary_info_diea40s           ,Cons Sazonal Vagem
dietary_info_diea41q           ,Qtde Quiabo (Col sopa cheia)
dietary_info_diea41s           ,Cons Sazonal Quiabo
dietary_info_diea42s           ,Cons Sazonal Cebola
dietary_info_diea43s           ,Cons Sazonal Alho
dietary_info_diea44q           ,Qtde Cenoura (Col sopa cheia)
dietary_info_diea44s           ,Cons Sazonal Cenoura
dietary_info_diea45q           ,Qtde Beterraba (Rodela media)
dietary_info_diea45s           ,Cons Sazonal Beterraba
dietary_info_diea46q           ,Qtde Couve-flor (Ramo media)
dietary_info_diea46s           ,Cons Sazonal Couve-flor
dietary_info_diea47q           ,Qtde Brocolis (Ramo medio)
dietary_info_diea47s           ,Cons Sazonal Brocolis
dietary_info_diea48q           ,Qtde Mil verde (Col sopa cheia)
dietary_info_diea48s           ,Cons Sazonal Mil verde
dietary_info_diea49s           ,Cons Sazonal Feijao
dietary_info_diea4q            ,Qtde Far mandioca/milho (Col sopa cheia)
dietary_info_diea4s            ,Cons Sazonal Farinhas mandioca/milho
dietary_info_diea50q           ,Qtde Feijoada/Fj tropeiro (Concha cheia)
dietary_info_diea50s           ,Cons Sazonal Feijoada/Feijao tropeiro
dietary_info_diea51q           ,Qtde Lent/Gr bico/Ervilha (Concha cheia)
dietary_info_diea51s           ,Cons Sazonal Lentilha/Grao bico/Ervilha
dietary_info_diea52q           ,Qtde Nozes/Castanha/Amendoa (Punhado)
dietary_info_diea52s           ,Cons Sazonal Nozes/Castanha/Amendoa
dietary_info_diea53q           ,Qtde Ovo cozido/poche (unidade)
dietary_info_diea53s           ,Cons Sazonal Ovo cozido/poche
dietary_info_diea54q           ,Qtde Ovo frito/omelete/mexido (unidade)
dietary_info_diea54s           ,Cons Sazonal Ovo frito/omelte/mexido
dietary_info_diea55q           ,Qtde Maionese (Col sopa cheia)
dietary_info_diea55s           ,Cons Sazonal Maionese
dietary_info_diea55t           ,Tipo Maionese
dietary_info_diea56q           ,Qtde Leite (Copo requeijao)
dietary_info_diea56s           ,Cons Sazonal Leite
dietary_info_diea56t           ,Tipo Leite
dietary_info_diea57q           ,Qtde Iogurte (Unidade media)
dietary_info_diea57s           ,Cons Sazonal Iogurte
dietary_info_diea57t           ,Tipo Iogurte
dietary_info_diea58q           ,Qtde Queijos brancos (Fatia media)
dietary_info_diea58s           ,Cons Sazonal Queijos brancos
dietary_info_diea59q           ,Qtde Queijos Amarelos (Fatia media)
dietary_info_diea59s           ,Cons Sazonal Queijos Amarelos
dietary_info_diea5q            ,Qtde Pao light (fatia 25g)
dietary_info_diea5s            ,Cons Sazonal Pao light
dietary_info_diea60q           ,Qtde Requeijao (Col sopa cheia)
dietary_info_diea60s           ,Cons Sazonal Requeijao
dietary_info_diea60t           ,Tipo Requeijao
dietary_info_diea61q           ,Qtde Margarina (Ponta faca)
dietary_info_diea61s           ,Cons Sazonal Margarina
dietary_info_diea62q           ,Qtde Manteiga (Ponta faca)
dietary_info_diea62s           ,Cons Sazonal Manteiga
dietary_info_diea63q           ,Qtde Figado/miudos (Bife medio)
dietary_info_diea63s           ,Cons Sazonal Figado/miudos
dietary_info_diea64q           ,Qtde Bucho/dobradinha (Concha cheia)
dietary_info_diea64s           ,Cons Sazonal Bucho/dobradinha
dietary_info_diea65q           ,Qtde Carne boi com osso (Pedaco medio)
dietary_info_diea65s           ,Cons Sazonal Carne boi com osso
dietary_info_diea66s           ,Cons Sazonal Carne boi sem osso
dietary_info_diea67q           ,Qtde Carne porco (Pedaco medio)
dietary_info_diea67s           ,Cons Sazonal Carne porco
dietary_info_diea68q           ,Qtde Peito frango/aves (File medio)
dietary_info_diea68s           ,Cons Sazonal Peito frango/aves
dietary_info_diea69q           ,Qtde Frango frito (Pedaco medio)
dietary_info_diea69s           ,Cons Sazonal Frango frito
dietary_info_diea6s            ,Cons Sazonal Pao frances/forma/sirio
dietary_info_diea70q           ,Qtde Frango cozido (Pedaco medio)
dietary_info_diea70s           ,Cons Sazonal frango cozido
dietary_info_diea71q           ,Qtde Linguica/Chourico/Salsichao (Un)
dietary_info_diea71s           ,Cons Sazonal Linguica/Chourico/Salsichao
dietary_info_diea72q           ,Qtde Hamburguer (Bife) (Un media)
dietary_info_diea72s           ,Cons Sazonal Hamburguer (Bife)
dietary_info_diea73q           ,Qtde Frios light (Fatia media)
dietary_info_diea73s           ,Cons Sazonal frios light
dietary_info_diea74q           ,Qtde Pres/Mortadela/Salame (Fatia media)
dietary_info_diea74s           ,Cons Sazonal Pres/Mortadela/Salame/Pate
dietary_info_diea75q           ,Qtde Bacon/Toucinho/Torresmo (Fatia)
dietary_info_diea75s           ,Cons Sazonal Bacon/Toucinho/Torresmo
dietary_info_diea76q           ,Qtde Peixe cozido/assado (Posta media)
dietary_info_diea76s           ,Cons Sazonal Peixe cozido/assado
dietary_info_diea77q           ,Qtde Peixe frito (File medio)
dietary_info_diea77s           ,Cons Sazonal Peixe frito
dietary_info_diea78q           ,Qtde Sardinha/atum (Lata)
dietary_info_diea78s           ,Cons Sazonal Sardinha/atum
dietary_info_diea79q           ,Qtde Camarao/Mariscos (Col sopa cheia)
dietary_info_diea79s           ,Cons Sazonal Camarao/Mariscos
dietary_info_diea7q            ,Qtde Pao doce/caseiro (un media)
dietary_info_diea7s            ,Cons Sazonal Pao doce/caseiro
dietary_info_diea80q           ,Qtde Caranguejo/Siri (Un)
dietary_info_diea80s           ,Cons Sazonal Caranguejo/Siri
dietary_info_diea81q           ,Qtde Pizza (Fatia)
dietary_info_diea81s           ,Cons Sazonal Pizza
dietary_info_diea82q           ,Qtde Macarrão (Escumadeira cheia)
dietary_info_diea82s           ,Cons Sazonal Macarrão
dietary_info_diea83q           ,Qtde Macar Instantaneo (Pacote)
dietary_info_diea83s           ,Cons Sazonal Macarrao Instantaneo
dietary_info_diea84q           ,Qtde Salgados assados (Un media)
dietary_info_diea84s           ,Cons Sazonal Salgados assados
dietary_info_diea85q           ,Qtde Salgados fritos (Un media)
dietary_info_diea85s           ,Cons Sazonal Salgados fritos
dietary_info_diea86q           ,Qtde Acaraje (Un media)
dietary_info_diea86s           ,Cons Sazonal Acaraje
dietary_info_diea87q           ,Qtde Cachorro-quente (Un media)
dietary_info_diea87s           ,Cons Sazonal Cachorro-quente
dietary_info_diea88q           ,Qtde Pipoca (Saco medio)
dietary_info_diea88s           ,Cons Sazonal Pipoca
dietary_info_diea89q           ,Qtde Estrogonofe (Colher de servir)
dietary_info_diea89s           ,Cons Sazonal Estrogonofe
dietary_info_diea8q            ,Qtde Pao integral/centeio (fatia 30g)
dietary_info_diea8s            ,Cons Sazonal Pao integral/centeio
dietary_info_diea90q           ,Qtde Comida baiana (Colher de servir)
dietary_info_diea90s           ,Cons Sazonal Comida baiana
dietary_info_diea90t           ,Tipo Comida baiana
dietary_info_diea91q           ,Qtde Comida japonesa (Tigela cheia)
dietary_info_diea91s           ,Cons Sazonal Comida japonesa
dietary_info_diea91t           ,Tipo Comida japonesa
dietary_info_diea92q           ,Qtde Sopa de legumes (Concha cheia)
dietary_info_diea92s           ,Cons Sazonal Sopa de legumes
dietary_info_diea93q           ,Qtde Sopa instantanea (Concha cheia)
dietary_info_diea93s           ,Cons Sazonal Sopa instantanea
dietary_info_diea94q           ,Qtde Sorvete cremoso (Bola media)
dietary_info_diea94s           ,Cons Sazonal Sorvete cremoso
dietary_info_diea95q           ,Qtde Picole frutas (Un)
dietary_info_diea95s           ,Cons Sazonal Picole frutas
dietary_info_diea96q           ,Qtde Caramelo/bala (Un)
dietary_info_diea96s           ,Cons Sazonal Caramelo/bala
dietary_info_diea97q           ,Qtde Gelatina (Tigela)
dietary_info_diea97s           ,Cons Sazonal Gelatina
dietary_info_diea98q           ,Qtde Chocolate po (Col sobremesa)
dietary_info_diea98s           ,Cons Sazonal Chocolate po
dietary_info_diea99q           ,Qtde Chocolate/bombom/docinho (20g)
dietary_info_diea99s           ,Cons Sazonal Chocolate/bombom/docinho
dietary_info_diea9q            ,Qtde Pao de queijo (un media)
dietary_info_diea9s            ,Cons Sazonal Pao de queijo
discrimination_disa1aa         ,Discr trab: cor ou raca (Q1a)
discrimination_disa1ab         ,Discr trab: ser homem ou mulher (Q1a)
discrimination_disa1ac         ,Discr trab: religiao ou culto (Q1a)
discrimination_disa1ad         ,Discr trab: doenca/defic fisica (Q1a)
discrimination_disa1ae         ,Discr trab: orientacao/pref sexual (Q1a)
discrimination_disa1af         ,Discr trab: econom/instrucao/funcao(Q1a)
discrimination_disa1ag         ,Discr trab: ativ politica (Q1a)
discrimination_disa1ah         ,Discr trab: idade (Q1a)
discrimination_disa1ai         ,Discr trab: aparencia fisica (Q1a)
discrimination_disa1ak         ,Discr trab: outra razao (Q1a)
discrimination_disa1b          ,Qdo ult x discriminado no trabalho (Q1b)
discrimination_disa2aa         ,Discr moradia: cor ou raca (Q2a)
discrimination_disa2ab         ,Discr moradia: ser homem ou mulher (Q2a)
discrimination_disa2ac         ,Discr moradia: religiao ou culto (Q2a)
discrimination_disa2ad         ,Discr moradia: doenca/defic fisica (Q2a)
discrimination_disa2ae         ,Discr moradia: orientacao sexual (Q2a)
discrimination_disa2af         ,Discr moradia:econ/instrucao/funcao(Q2a)
discrimination_disa2ag         ,Discr moradia: ativ politica (Q2a)
discrimination_disa2ah         ,Discr moradia: idade (Q2a)
discrimination_disa2ai         ,Discr moradia: aparencia fisica (Q2a)
discrimination_disa2ak         ,Discr moradia: outra razao (Q2a)
discrimination_disa2b          ,Qdo ult x discriminado moradia (Q2b)
discrimination_disa3aa         ,Discr policia: cor ou raca (Q3a)
discrimination_disa3ab         ,Discr policia: ser homem ou mulher (Q3a)
discrimination_disa3ac         ,Discr policia: religiao ou culto (Q3a)
discrimination_disa3ad         ,Discr policia: doenca/defic fisica (Q3a)
discrimination_disa3ae         ,Discr policia: orientacao sexual (Q3a)
discrimination_disa3af         ,Discr policia:econ/instrucao/funcao(Q3a)
discrimination_disa3ag         ,Discr policia: ativ politica (Q3a)
discrimination_disa3ah         ,Discr policia: idade (Q3a)
discrimination_disa3ai         ,Discr policia: aparencia fisica (Q3a)
discrimination_disa3ak         ,Discr policia: outra razao (Q2a)
discrimination_disa3b          ,Qdo ult x discriminado policia (Q2b)
discrimination_disa4aa         ,Discr publico: cor ou raca (Q4a)
discrimination_disa4ab         ,Discr publico: ser homem ou mulher (Q4a)
discrimination_disa4ac         ,Discr publico: religiao ou culto (Q4a)
discrimination_disa4ad         ,Discr publico: doenca/defic fisica (Q4a)
discrimination_disa4ae         ,Discr publ: orientacao/pref sexual (Q4a)
discrimination_disa4af         ,Discr publico:econ/instrucao/funcao(Q4a)
discrimination_disa4ag         ,Discr publico: ativ politica (Q4a)
discrimination_disa4ah         ,Discr publico: idade (Q4a)
discrimination_disa4ai         ,Discr publico: aparencia fisica (Q4a)
discrimination_disa4ak         ,Discr publico: outra razao (Q4a)
discrimination_disa4b          ,Qdo ult x discriminado publico (Q4b)
discrimination_disa5aa         ,Discr escola: cor ou raca (Q5a)
discrimination_disa5ab         ,Discr escola: ser homem ou mulher (Q5a)
discrimination_disa5ac         ,Discr escola: religiao ou culto (Q5a)
discrimination_disa5ad         ,Discr escola: doenca/defic fisica (Q5a)
discrimination_disa5ae         ,Discr escola: orientacao sexual (Q5a)
discrimination_disa5af         ,Discr escola:econ/instrucao/funcao(Q5a)
discrimination_disa5ag         ,Discr escola: ativ politica (Q5a)
discrimination_disa5ah         ,Discr escola: idade (Q5a)
discrimination_disa5ai         ,Discr escola: aparencia fisica (Q5a)
discrimination_disa5ak         ,Discr escola: outra razao (Q5a)
discrimination_disa5b          ,Qdo ult x discriminado escola (Q5b)
EKG_a_vfccl_areahf_pe          ,HF ms2 VFCPE
EKG_a_vfccl_arealf_pe          ,LF ms2 VFCPE
EKG_a_vfccl_areavlf_pe         ,VLF  VFCPE
EKG_a_vfccl_bpmmax_pe          ,maximum HR (bpm) VFCPE
EKG_a_vfccl_bpmmed_pe          ,medium HR (bpm) VFCPE
EKG_a_vfccl_bpmmin_pe          ,minimum HR (bpm) VFCPE
EKG_a_vfccl_hfp_pe             ,HF nu VFCPE
EKG_a_vfccl_lfhf_pe            ,LF/HF VFCPE
EKG_a_vfccl_lfp_pe             ,LF nu VFCPE
EKG_a_vfccl_pnn_pe             ,pNN50 VFCPE
EKG_a_vfccl_rmssd_pe           ,RMSSD VF
EKG_a_vfccl_rrdv_pe            ,RR SD (ms) VFCPE
EKG_a_vfccl_rrmed_pe           ,mean RR (ms) VFCPE
EKG_a_vfccl_rrvar_pe           ,RR variance (ms2) VFCPE
EKG_a_vfccl_triangindex_pe     ,Triangular Index VFCPE
eye_reta10                     ,lazy eye
eye_reta11                     ,have seen ophtalmologist
familial_hfda02a               ,Pai morreu subitamente (Q2)
familial_hfda02b               ,Idade que o pai morreu subitamente (Q2)
familial_hfda02d               ,Mae morreu subitamente (Q2)
familial_hfda02e               ,Idade que a mae morreu subitamente (Q2)
familial_hfda02g               ,Irma/o morreu subitamente (Q2)
familial_hfda02h               ,Idade que irma/o morreu subitamente (Q2)
familial_hfda04a               ,Pai teve infarto do miocardio (Q4)
familial_hfda04b               ,Idade que pai teve infarto (Q4)
familial_hfda04d               ,Mae teve infarto do miocardio (Q4)
familial_hfda04e               ,Idade que mae teve infarto (Q4)             )
familial_hfda04g               ,Irma/o teve infarto do miocardio (Q4)
familial_hfda04h               ,Idade que irma/o teve infarto (Q4)
familial_hfda06a               ,Pai teve AVC (Q6)
familial_hfda06b               ,Idade que pai teve AVC (Q6)
familial_hfda06d               ,Mae teve AVC (Q6)
familial_hfda06e               ,Idade que mae teve AVC (Q6)
familial_hfda06g               ,Irma/o teve AVC (Q6)
familial_hfda06h               ,Idade que irma/o teve AVC (Q6)
familial_hfda08a               ,Pai teve hipertensao (Q8)
familial_hfda08b               ,Idade que pai teve diagnostico HT (Q8)
familial_hfda08d               ,Mae teve hipertensao (Q8)
familial_hfda08e               ,Idade que mae teve diagnostico HT (Q8)
familial_hfda08g               ,Irma/o teve hipertensao (Q8)
familial_hfda08h               ,Idade que irma/o teve diag HT (Q8)
familial_hfda10a               ,Pai teve outra doenca do coracao (Q10)
familial_hfda10b               ,Idade pai teve doenca do coracao (Q10)
familial_hfda10d               ,Mae teve outra doenca do coracao (Q10)
familial_hfda10e               ,Idade mae teve doenca do coracao (Q10)
familial_hfda10g               ,Irma/o teve outra doenca coracao (Q10)
familial_hfda10h               ,Idade irma/o teve doenca coracao (Q10)
familial_hfda12a               ,Pai teve diagnostico de diabetes (Q12)
familial_hfda12b               ,Idade que pai teve diagnostico DM (Q12)
familial_hfda12d               ,Mae teve diagnostico de diabetes (Q12)
familial_hfda12e               ,Idade que mae teve diagnostico DM (Q12)
familial_hfda12g               ,Irma/o teve diagnostico de diabetes (Q12)
familial_hfda12h               ,Idade irma/o teve diagnostico DM (Q12)
familial_hfda14a               ,Pai teve diagnostico de asma (Q14)
familial_hfda14b               ,Idade pai teve diagnostico asma (Q14)
familial_hfda14d               ,Mae teve diagnostico de asma (Q14)
